num_annot,text,num_alloc,key,tweet_id
3,enquanto isso #lame4 rs,0,4503840313311232,446333972562591745
3,"PETR4 subiu na bolsa 13,50. Muito bem, surpreso com o resultado.",0,4503880712847360,446341582183464960
0,#BOVESPA #VALE5 Vale vai anunciar em junho financiamento para projeto em Moçambique: http://t.co/ZwwJyMviB2,0,4503936010551296,456485779955408896
0,$NATU3 - Natura (natu-nm) - Demonstracoes Financeiras De 31/03/2014 (individual) http://t.co/rtAM9kW6Gp,0,4504187131920384,459299001079463936
3,$LREN3 - Lojas Renner (lren-nm) - Ago - 17/04/2014 - 11h00 - Dividendos http://t.co/3PJlEQcEpB,0,4504739706306560,443844230512144385
3,"vai, oibr4. um troux... ops... investidor precisa pagar as minhas férias.",0,4504756751958016,448105739962548224
0,"Oi encerra nesta quinta-feira, 24, o período de reserva do lote inicial da sua oferta pública de ações (#OIBR3 e #OIBR4).",0,4505408379027456,459328631123505152
0,"Suzb5 em queda livre. Perdeu 10% só essa semana. Uma pena. Estopado em goau depois da média inverter: 16,11.",0,4505929412247552,459730978106531840
0,OIBR4 operação finalizada e meu sagrado sono volta a ser perfeito.,0,4507435737808896,462315206061072384
0,Ativo c/ vol Financeiro Superior à sua MM21-12h:USIM5,0,4508721543643136,459350300877651968
0,"Rastreamento ações-Gráfico diário-14h. Analise se romper:  ENBR3 10,12",0,4508780733661184,456121196879552512
3,$LREN3 - Lojas Renner (lren-nm) - Declaracao E Pagamento De Juros Sobre O Capital Proprio http://t.co/flXNxtpbT1,0,4508815630270464,446250331123773440
0,$CPFE3 - Cpfl Energia (cpfe-nm) - Demonstracoes Financeiras De 31/03/2014 (cons) http://t.co/qQ5eWq14JC,0,4509935408775168,466193192527101952
0,"Rio Tinto processa Vale, Beny Steinmetz e BSGR sobre projetos na Guiné: A ação judicial, ini... http://t.co/r2zoYuDe7e #infomoney #vale5",0,4510941504864256,461596669172133888
0,@Francischini_ @vanderleimacris Petr4 virou covil do PT.. http://t.co/79RieM79Ag,0,4511184841605120,456471235832975360
1,comprar CCRO3 amanha e aguardar o  mercado na quinta pra comprar ABEV3,0,4511408179904512,456106681429422080
0,"$GOLL4 - GOL atinge margem operacional de 3,0% em 2013, alta de 14,2 pontos percentuais frente a 2012 http://t.co/3Y7FmZqYh3",0,4511714733195264,448847362535223296
0,"#BBAS3 só pra lembrar da dica.... 19,15 agora. 
Em busca dos 1% para começar a ficar bacana.
http://t.co/XovdsdG30Y",0,4511780231446528,443807162931097600
0,$CIEL3 - Cielo (ciel-nm) - Indice Cielo Do Varejo Ampliado   Icva http://t.co/0lRWZfzB9w,0,4512021152268288,457102793888002048
0,$DTEX3 - Duratex (dtex-nm) - Bonificacao Em Acoes http://t.co/3wMor9HGMU,0,4512742304120832,458709891532603393
3,Barriga para dentro em uma semana - http://t.co/jfzDpwhv9z,0,4512854778576896,448130972039385089
3,"05/03/14 - 17:20:Maiores Baixas: BRAP4 -4,50% R$20,35; RSID3 -4,09% R$1,64; VALE5 -3,50% R$28,07; CSNA3 -3,40% R$9,60; BRKM5 -3,28% R$15,62.",0,4513178780172288,441307148849405952
3,$ELET3 - Eletrobras (elet-n1) - Esclarecimentos http://t.co/MtkZZZE6DE,0,4513564119269376,450968336655208449
3,R$13 ... que ironia hein ? ;) #PETR4,0,4514333455286272,445987239869562880
0,@folha_com deve estar comprada em PETR3...,0,4514563772907520,459866396932190208
0,“@klarivasquez: sleeeeeeeeeepy. 😴😴”,0,4514904149065728,456497792270077952
0,"O tamanho do iceberg que atingiu a #Petrobras é muito maior, esta refinaria é um cubo de gelo. #PETR4",0,4515339551375360,446839503903539200
0,@Live_Trade suzb5...alguma sugestão de posição?,0,4516556235079680,454302865956544512
3,"Na #PETR4 fizemos na sexta passada uma Sub Onda 5 de fundo e no dia 05/02/14 uma Onda 3 de fundo alvos 15,44 16,40 http://t.co/5DPBQCulWr",0,4516924528525312,441030534467055617
3,"11/04/14 - 17:18: Maiores Altas: KROT3 4,17% R$48,75; CPLE6 3,62% R$30,94; AEDU3 3,44% R$13,55; PETR4 2,93% R$16,14; ALLL3 2,90% R$8,31.",0,4517790367088640,454715090777153537
3,"RT @DenysonAnderson: Petrobras confirma precificação de títulos de US$8,5 bilhões: SÃO PAULO, 10 Mar (Reuters) - A Petrobras PETR4.... http…",0,4517999344091136,443207353077604352
3,"""Salvação"" da OGX e OSX pode estar à caminho; mais 5 empresas estão no radar: Nível do reser... http://t.co/WYotABlDa5 #infomoney #vale5",0,4518430854086656,441233076748681216
3,@webtraderx @BlackWizardX Vou dar uma olhada com calma depois das 9 da noite pelas Ondas de Elliot e fiquei te devendo da #PETR4,0,4518998460858368,455817307626147841
