trust_vs_disgust,surprise_vs_antecip,tweet_id,joy_vs_sadness,key,created_date,annotator_id,anger_vs_fear
dontknow,dontknow,443345540483665920,dontknow,4503759984001024,2017-01-24T12:31:49,6503,dontknow
TRU,neutral,468948000140951552,JOY,4503815348813824,2017-01-21T17:29:59,4645,neutral
neutral,neutral,458274836494946305,neutral,4503850715185152,2017-01-20T16:14:14,6539,neutral
neutral,neutral,444090187128135680,neutral,4504332019957760,2017-01-20T13:44:40,2798,neutral
neutral,neutral,453998678693675010,neutral,4504712392998912,2017-01-22T02:23:17,8927,neutral
neutral,neutral,447028077689065473,neutral,4504879963832320,2016-10-18T13:11:04,3,neutral
TRU,ANT,452412713898352640,neutral,4505033173368832,2017-01-20T15:45:34,1680,neutral
neutral,neutral,446987124722925568,neutral,4505094510870528,2017-01-20T13:29:14,8935,neutral
neutral,SUR,446725233010307072,neutral,4505360396189696,2016-12-28T03:01:34,9839,neutral
TRU,ANT,451467886263934976,JOY,4505399587766272,2017-01-24T18:12:12,1613,neutral
neutral,neutral,450605466079723520,neutral,4505417103179776,2016-06-17T05:09:43,2,neutral
TRU,SUR,460828319119048705,JOY,4505557159378944,2017-01-30T01:50:17,7649,neutral
neutral,neutral,463667443161133056,neutral,4505720368136192,2017-01-23T12:54:17,6858,neutral
DIS,SUR,447081606529167360,SAD,4505944914395136,2017-01-20T14:16:52,5389,FEA
neutral,neutral,468960010807296002,SAD,4506182345555968,2017-01-24T16:03:32,8432,FEA
neutral,neutral,448889856325058560,neutral,4506363203944448,2016-06-17T05:15:38,2,neutral
DIS,neutral,445683942666952704,SAD,4506527821987840,2017-01-20T13:39:44,8892,FEA
neutral,SUR,460830488996114432,neutral,4506589159489536,2017-01-20T12:42:47,2071,neutral
DIS,ANT,444121511981760512,SAD,4506672240263168,2017-01-20T13:13:59,8935,ANG
neutral,SUR,453514589926199296,JOY,4506770286313472,2017-01-24T04:28:56,4816,neutral
neutral,neutral,451401382751662080,neutral,4506918127140864,2016-11-11T01:16:05,2,neutral
TRU,ANT,459129085256822785,neutral,4506948191911936,2017-01-24T17:01:04,7649,neutral
