tweet_id,text,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
443844230512144385l,$LREN3 - Lojas Renner (lren-nm) - Ago - 17/04/2014 - 11h00 - Dividendos http://t.co/3PJlEQcEpB,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
449686405611274240l,"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 18,65 (-1,37%) com volume de R$ 22,14 mm.
$LIGT3",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
441215300357586944l,$PETR3 - Petrobras (petr)- Candidatos Ind. Pelos Acionistas Nao Controladores P. Ca E Cf http://t.co/3ikzgdwt6j,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
456140272339279872l,"No momento PETR4 respeita o suporte de R$15,42.",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
456846119000342528l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:BEEF3 10,52 BRAP4 21,55 CESP6 27,77 ELPL4 9,18 ENBR3 10,59  IGTA3 22,08 LIGT3 19,05",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
444557092226342912l,Ativo c/ vol Financeiro Superior à sua MM21-16h: LREN3 MGLU3 MILS3 MRVE3 PINE4 SLCE3 SUZB5 USIM3 USIM5,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
445895082685001728l,"Análises de Resultados 4T13 - BRML3, FLRY3, MRVE3, SCAR3,SUZB5 por Ativa, Concódia, Coinvalores e XP em Boletins.http://t.co/qwST2T7ucy",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
460888883191115776l,"28/04 O Ibovespa fechou estável, aos 51.395pts. Destaques: GOLL4 +4,04% e OIBR4 -5,98%. http://t.co/j9yUOf2ipY",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
466925490637651968l,$CYRE3 - Cyrela Realt (cyre-nm) - Demonstracoes Financeiras De 31/03/2014 (cons) http://t.co/XJ0GiprNLN,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
459421284469080064l,$FIBR3 - Fibria (fibr-nm)- Demonstracoes Financeiras Em Ingles De 31/03/2014 http://t.co/LQafhhsV5y,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
443393619546763264l,Análise técnica completa para o pregão de hoje na @Info_BMFBOVESPA  sobre a empresa @petrobras (PETR4) http://t.co/UK8fQ0a7RC,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
441932039294836736l,$LIGT3 - Light S/a (ligt-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/XjNJgpnqcw,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
444092271831842816l,"DESTAQUE - Resultados B2W (BTOW3), CCR (CCRO3) e Americanas (LAME3). Leia as analises http://t.co/sEwXBRgrrM",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
441245930285563904l,"Essa #KROT3 é um mistério. Tenho a olhada de perto desde os R$ 35. Papel bem alugado mas não cede nunca!
@ferrisss",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,0.667,3
443439285707223040l,"@PedroCerize https://t.co/TRZN6adp88

Tem tudo ai,compraram em 2010 petr3,bbas3",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
458336411163578369l,RT @joanarauhl: o afonso anda meio desaparecido,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
449543815712759809l,$ELET3 - Eletrobras (elet-n1) - Demonstracoes Financeiras De 31/12/2013 (cons) http://t.co/94fk4X66p1,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
470030904614989824l,"RT @Rivanews: Nessa sexta-feira #HGTX3 registrou seu décimo pregão em baixa, veja o gráfico. http://t.co/tdAlWhXqy9",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
449938218486886400l,"Em 31.05.2004 Petrobras PN - PETR4 estava a R$ 7,20 - Bovespa - http://t.co/ASPBmyoBSk http://t.co/YpKzyffh4h @stanleyburburin",0,0,0,0,0,0,0,0,1,1.000,0.667,1.000,1.000,3
449526805775790080l,PETR4 sobe 8% e a gremistada preocupada com o contrato das estruturas temporárias ... Vida injusta essa!,0,1,0,1,0,1,1,0,0,0.667,0.667,0.667,0.667,3
451729945572556800l,“@klarivasquez: “@omgthatspunny: http://t.co/tRCByRkKm0” @vikki_cruz3”,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
446649086075469824l,"#PETR4 R$13,68 ! o.O (3 dias seguidos de arrancada já !)",1,0,1,0,0,1,0,0,0,1.000,1.000,1.000,1.000,3
459321704565977089l,"RT @ativacorretora: Análises técnicas para IBOV, S&amp,P500, PETR4, VALE5, ABEV3, VIVT4, CMIG4, NATU3, ITUB4, PDGR3 e GGBR4  http://t.co/5cppN3…",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
450605466079723520l,$ELET3 - Eletrobras (elet-n1) - Material A Disp. (indic. De Candidatos A Membros Do Ca) http://t.co/myIM01vKEt,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
464029861573849088l,$BBAS3 - Banco Do Brasil (bbas-nm)- Dfs Consolidadas De 31/03/2014 http://t.co/VoH5wuvaMP,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
445988803610951682l,JBSS3 comprar a R$ 7.57 indicado em 18/03/2014 15:23 e finalizou a venda com resultado de R$ -0.13 ou -1.72 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
451713489749307392l,"VALE5 nao passa de 29,90",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
453885671300947968l,A última indicação da #ELPL4 resultou em 11.43 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
450952640839434241l,#ELET3 Suportes e resistências http://t.co/juDMDBysvA,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
445670709751451648l,"Acabei de analisar BVMF3, ITUB4, PDGR3, PETR4, USIM5 e VALE5 no INVISTA EM AÇÕES. Confira na seção de Análises http://t.co/LNFxOOww7g",0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
